,ngram,NEG,NEUT,POS
424,과체중,1.0,0.0,0.0
425,관절염,1.0,0.0,0.0
426,괄시,1.0,0.0,0.0
427,괄시하다,1.0,0.0,0.0
428,괘씸하고,1.0,0.0,0.0
429,얄미운,1.0,0.0,0.0
430,괘씸하고,1.0,0.0,0.0
431,얄밉다,1.0,0.0,0.0
432,괘씸한,1.0,0.0,0.0
433,괘씸한,1.0,0.0,0.0
434,데가,1.0,0.0,0.0
435,괴로운,1.0,0.0,0.0
436,괴로운,1.0,0.0,0.0
437,느낌,1.0,0.0,0.0
438,괴로운,1.0,0.0,0.0
439,느낌을,1.0,0.0,0.0
440,괴로운,1.0,0.0,0.0
441,모양,1.0,0.0,0.0
442,괴로운,1.0,0.0,0.0
443,상태가,1.0,0.0,0.0
444,괴로운,1.0,0.0,0.0
445,상태로,1.0,0.0,0.0
446,괴로운,1.0,0.0,0.0
447,상태에,1.0,0.0,0.0
448,괴로울,1.0,0.0,0.0
449,괴로울,1.0,0.0,0.0
450,때에,1.0,0.0,0.0
451,괴로움,1.0,0.0,0.0
452,괴로움과,1.0,0.0,0.0
453,괴로움과,1.0,0.0,0.0
454,아픔,1.0,0.0,0.0
455,괴로움을,1.0,0.0,0.0
456,괴로움을,1.0,0.0,0.0
457,가져오며,1.0,0.0,0.0
458,괴로움을,1.0,0.0,0.0
459,느끼다,1.0,0.0,0.0
460,괴로움이나,1.0,0.0,0.0
461,괴로워,1.0,0.0,0.0
462,괴로워하는,1.0,0.0,0.0
463,괴로워하는,1.0,0.0,0.0
464,모양이나,1.0,0.0,0.0
465,괴로워하다,1.0,0.0,0.0
466,괴로워하며,1.0,0.0,0.0
467,괴롭거나,1.0,0.0,0.0
468,괴롭거나,1.0,0.0,0.0
469,성가시다,1.0,0.0,0.0
470,괴롭게,1.0,0.0,0.0
471,괴롭게,1.0,0.0,0.0
472,내는,1.0,0.0,0.0
473,괴롭게,1.0,0.0,0.0
474,되다,1.0,0.0,0.0
475,괴롭게,1.0,0.0,0.0
476,소리를,1.0,0.0,0.0
477,괴롭게,1.0,0.0,0.0
478,여기다,1.0,0.0,0.0
479,괴롭고,1.0,0.0,0.0
480,괴롭고,1.0,0.0,0.0
481,귀찮게,1.0,0.0,0.0
482,괴롭고,1.0,0.0,0.0
483,귀찮다,1.0,0.0,0.0
484,괴롭고,1.0,0.0,0.0
485,아픈,1.0,0.0,0.0
486,괴롭다,1.0,0.0,0.0
487,괴롭히거나,1.0,0.0,0.0
488,괴롭히거나,1.0,0.0,0.0
489,못살게,1.0,0.0,0.0
490,괴롭히는,1.0,0.0,0.0
491,괴롭히는,1.0,0.0,0.0
492,일,1.0,0.0,0.0
493,괴롭히는,1.0,0.0,0.0
494,짓을,1.0,0.0,0.0
495,괴롭히다,1.0,0.0,0.0
496,괴멸,1.0,0.0,0.0
497,괴멸되다,1.0,0.0,0.0
498,괴멸하다,1.0,0.0,0.0
499,괴사가,1.0,0.0,0.0
500,괴사가,1.0,0.0,0.0
501,일어난,1.0,0.0,0.0
502,괴상하고,1.0,0.0,0.0
503,괴상한,1.0,0.0,0.0
504,괴상한,1.0,0.0,0.0
505,데가,1.0,0.0,0.0
506,괴상한,1.0,0.0,0.0
507,일,1.0,0.0,0.0
508,괴이하게,1.0,0.0,0.0
509,괴이하게,1.0,0.0,0.0
510,여기다,1.0,0.0,0.0
511,구슬프고,1.0,0.0,0.0
512,쓸쓸한,1.0,0.0,0.0
513,구역날,1.0,0.0,0.0
514,구역날,1.0,0.0,0.0
515,듯하다,1.0,0.0,0.0
516,구역이,1.0,0.0,0.0
517,나려는,1.0,0.0,0.0
518,구역질,1.0,0.0,0.0
519,구역질나는,1.0,0.0,0.0
520,구역질나다,1.0,0.0,0.0
521,구역질을,1.0,0.0,0.0
522,구역질을,1.0,0.0,0.0
523,하는,1.0,0.0,0.0
524,구역질이,1.0,0.0,0.0
525,구역질이,1.0,0.0,0.0
526,나는,1.0,0.0,0.0
527,구역질이,1.0,0.0,0.0
528,나다,1.0,0.0,0.0
529,구역질이,1.0,0.0,0.0
530,나서,1.0,0.0,0.0
531,구역질하다,1.0,0.0,0.0
532,구차스러운,1.0,0.0,0.0
533,구차스러운,1.0,0.0,0.0
534,짓을,1.0,0.0,0.0
535,구차스럽게,1.0,0.0,0.0
536,구차스럽게,1.0,0.0,0.0
537,구는,1.0,0.0,0.0
538,구차스럽게,1.0,0.0,0.0
539,굴다,1.0,0.0,0.0
540,구차하여,1.0,0.0,0.0
541,굴욕,1.0,0.0,0.0
542,굴욕감,1.0,0.0,0.0
543,굴욕을,1.0,0.0,0.0
544,굴욕을,1.0,0.0,0.0
545,당하거나,1.0,0.0,0.0
546,굴욕을,1.0,0.0,0.0
547,당하여,1.0,0.0,0.0
548,굴욕적,1.0,0.0,0.0
549,굼뜨고,1.0,0.0,0.0
550,거추장스럽게,1.0,0.0,0.0
551,굼뜨고,1.0,0.0,0.0
552,게으르게,1.0,0.0,0.0
553,굼뜨고,1.0,0.0,0.0
554,좀스럽게,1.0,0.0,0.0
555,굽신,1.0,0.0,0.0
556,굽신거리다,1.0,0.0,0.0
557,굽신굽신,1.0,0.0,0.0
558,굽신굽신하다,1.0,0.0,0.0
559,굽신대다,1.0,0.0,0.0
560,굽신하다,1.0,0.0,0.0
561,굽실,1.0,0.0,0.0
562,굽실거리다,1.0,0.0,0.0
563,굽실굽실,1.0,0.0,0.0
564,굽실굽실하다,1.0,0.0,0.0
565,굽실대다,1.0,0.0,0.0
566,굽실하다,1.0,0.0,0.0
567,굽혀서,1.0,0.0,0.0
568,산다는,1.0,0.0,0.0
569,궁상스러운,1.0,0.0,0.0
570,궁상스러운,1.0,0.0,0.0
571,모양,1.0,0.0,0.0
572,궁상스럽다,1.0,0.0,0.0
573,궁색하게,1.0,0.0,0.0
574,궁색하다,1.0,0.0,0.0
575,궁색하여,1.0,0.0,0.0
576,궁핍하다,1.0,0.0,0.0
577,궁핍히,1.0,0.0,0.0
578,궁하고,1.0,0.0,0.0
579,궁하다,1.0,0.0,0.0
580,귀양을,1.0,0.0,0.0
581,보내던,1.0,0.0,0.0
582,귀양이,1.0,0.0,0.0
583,보내어지다,1.0,0.0,0.0
584,귀찮고,1.0,0.0,0.0
585,성가시다,1.0,0.0,0.0
586,귀찮아하도록,1.0,0.0,0.0
587,성가시게,1.0,0.0,0.0
588,귀찮은,1.0,0.0,0.0
589,그대로,1.0,0.0,0.0
590,설사하는,1.0,0.0,0.0
591,그른,1.0,0.0,0.0
592,그른,1.0,0.0,0.0
593,짓을,1.0,0.0,0.0
594,그릇되거나,1.0,0.0,0.0
595,그릇되게,1.0,0.0,0.0
596,그릇되게,1.0,0.0,0.0
597,하는,1.0,0.0,0.0
598,그릇되게,1.0,0.0,0.0
599,하다,1.0,0.0,0.0
600,그릇되다,1.0,0.0,0.0
601,그릇된,1.0,0.0,0.0
602,그릇된,1.0,0.0,0.0
603,방향으로,1.0,0.0,0.0
604,그릇된,1.0,0.0,0.0
605,일을,1.0,0.0,0.0
606,그릇된,1.0,0.0,0.0
607,짓을,1.0,0.0,0.0
608,그와,1.0,0.0,0.0
609,이별하다,1.0,0.0,0.0
610,극혐,1.0,0.0,0.0
611,근심이나,1.0,0.0,0.0
